DATE,NIFTY 50,NIFTY NEXT 50,NIFTY 100,NIFTY 200,Nifty Total Market,NIFTY 500,NIFTY500 MULTICAP 50:25:25,NIFTY500 EQUAL WEIGHT,NIFTY MIDCAP 150,NIFTY MIDCAP 50,Nifty Midcap Select,NIFTY Midcap 100,NIFTY SMALLCAP 250,NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY MICROCAP 250,NIFTY LargeMidcap 250,NIFTY MIDSMALLCAP 400,DSP QUANT,DSP ELSS,ICICI PRU SILVER,NIFTY 10 YR BENCHMARK G-SEC,KOTAK CONTRA,KOTAK GOLD,UTI FLEX,AXIS INNOVATION,NIFTY AUTO,NIFTY BANK,NIFTY CHEMICALS,NIFTY FINANCIAL SERVICES,NIFTY FINANCIAL SERVICES 25/50,Nifty Financial Services Ex Bank,NIFTY FMCG,Nifty HEALTHCARE,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PRIVATE BANK,NIFTY PSU BANK,NIFTY REALTY,NIFTY CONSUMER DURABLES,NIFTY OIL AND GAS INDEX,Nifty MidSmall Financial Services,Nifty MidSmall Healthcare,Nifty MidSmall IT & Telecom,NIFTY 100 EQUAL WEIGHT,NIFTY 100 LOW VOLATILITY 30,NIFTY 10 YR BENCHMARK G-SEC,NIFTY200 MOMENTUM 30,NIFTY200 ALPHA 30,NIFTY100 ALPHA 30,NIFTY ALPHA 50,NIFTY ALPHA LOW VOLATILITY 30,NIFTY ALPHA QUALITY LOW VOLATILITY 30,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY GROWTH SECTORS 15,NIFTY HIGH BETA 50,NIFTY LOW VOLATILITY 50,NIFTY TOP 10 EQUAL WEIGHT,NIFTY TOP 15 EQUAL WEIGHT,NIFTY TOP 20 EQUAL WEIGHT,NIFTY100 QUALITY 30,NIFTY Midcap150 Momentum 50,Nifty500 Flexicap Quality 30,NIFTY500 LOW VOLATILITY 50,NIFTY500 MOMENTUM 50,NIFTY500 QUALITY 50,NIFTY500 MULTIFACTOR MQVLv 50,NIFTY Midcap150 Quality 50,Nifty Smallcap250 Quality 50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,Nifty MidSmallcap400 Momentum Quality 100,Nifty Smallcap250 Momentum Quality 100,NIFTY QUALITY LOW VOLATILITY 30,NIFTY50 EQUAL WEIGHT,NIFTY50 VALUE 20,Nifty200 Value 30,NIFTY500 VALUE 50,NIFTY500 EQUAL WEIGHT,NIFTY200 Quality 30,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,Nifty Capital Markets,NIFTY COMMODITIES,Nifty Core Housing,NIFTY CPSE,NIFTY ENERGY,Nifty EV & New Age Automotive,Nifty Housing,NIFTY100 ESG,NIFTY100 Enhanced ESG,Nifty100 ESG Sector Leaders,NIFTY INDIA CONSUMPTION,Nifty India Defence,Nifty India Digital,NIFTY INDIA INFRASTRUCTURE & LOGISTICS,Nifty India Internet,Nifty India Manufacturing,NIFTY INDIA TOURISM,NIFTY INFRASTRUCTURE,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,NIFTY IPO,NIFTY MIDCAP LIQUID 15,Nifty MidSmall India Consumption,NIFTY MNC,Nifty Mobility,NIFTY PSE,Nifty REITs & InvITs,Nifty Rural,Nifty Non-Cyclical Consumer Index,NIFTY SERVICES SECTOR,NIFTY SHARIAH 25,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,Nifty Transportation & Logistics,NIFTY100 LIQUID 15,NIFTY50 SHARIAH,NIFTY500 SHARIAH,NIFTY500 MULTICAP INDIA MANUFATURING 50:30:20,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,NIFTY SME EMERGE,Nifty India Railways PSU,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),NIFTY INDIA NEW AGE CONSUMPTION,Nifty Waves
10/11/25,38366.88,99651.76,35940.79,19031.86,17401.18,37532.20,21335.30,18745.81,28002.59,22316.05,17074.08,81175.27,21627.94,10907.81,23355.47,29369.55,21516.39,25684.11,21.94,141.51,151.17,2617.15,153.66,47.10,326.34,18.93,35469.58,80712.23,41918.93,34551.53,39804.59,42352.67,91327.64,17405.07,50032.70,1819.69,15752.51,27618.74,32869.33,11381.66,1050.07,43804.47,18347.18,28100.41,53240.66,12936.73,47916.72,28679.35,2617.15,39291.45,31872.62,23468.38,62470.19,35014.91,30503.16,31281.93,9576.61,15337.77,5033.33,34912.96,12682.15,13934.19,12372.05,7253.87,76618.80,13540.95,31038.47,65215.33,27194.40,46547.05,32704.56,37291.50,54889.33,63147.29,60476.41,24102.61,55957.69,17882.24,24630.85,25387.06,18745.81,30097.17,9699.89,5070.12,13728.13,19670.33,10896.07,62969.52,3309.64,15391.28,6120.66,6173.27,4959.41,15460.41,8903.64,11926.32,14841.72,1475.62,19829.41,9889.93,12355.52,50122.31,2227.19,19754.71,23724.89,47611.68,30232.51,17665.79,2192.13,20877.54,20312.29,48397.51,10558.73,21574.71,19660.01,33124.31,8893.85,6174.01,9013.51,20338.06,18724.63,15796.74,3725.06,45910.79,14379.75,2202.37
09/11/25,38366.88,99651.76,35940.79,19031.86,17348.26,37532.20,21335.30,18727.41,28002.59,22316.05,17074.08,81175.27,21627.94,10907.81,23355.47,29369.55,21516.39,25684.11,21.78,141.16,148.13,2612.80,153.45,46.22,325.47,18.88,35469.58,80712.23,41918.93,34551.53,39804.59,42352.67,91327.64,17405.07,50032.70,1819.69,15752.51,27618.74,32869.33,11381.66,1050.07,43804.47,18347.18,28100.41,53240.66,12936.73,47916.72,28679.35,2612.80,39291.45,31872.62,23468.38,62470.19,35014.91,30503.16,31097.03,9576.61,15337.77,5033.33,34912.96,12682.15,13934.19,12372.05,7253.87,76449.63,13422.29,30919.00,65040.96,27083.30,46321.92,32380.00,37098.36,54597.47,62729.70,60174.23,23981.14,55907.97,17778.25,24589.59,25331.56,18727.41,29818.61,9750.94,5063.52,13702.81,19619.40,10858.18,62687.43,3292.68,15350.84,6099.36,6151.38,4939.97,15497.06,8776.47,11840.03,14799.92,1477.84,19715.23,9865.93,12312.56,50288.37,2240.82,19699.41,23676.46,47425.52,30222.38,17581.14,2181.88,20811.96,20350.75,48206.43,10510.95,21534.20,19692.34,33114.41,8878.10,6153.62,8981.12,20233.97,18674.14,15771.92,3730.28,45964.38,14394.26,2218.83
08/11/25,38366.88,99651.76,35940.79,19031.86,17348.26,37532.20,21335.30,18727.41,28002.59,22316.05,17074.08,81175.27,21627.94,10907.81,23355.47,29369.55,21516.39,25684.11,21.78,141.16,148.13,2612.80,153.45,46.22,325.47,18.88,35469.58,80712.23,41918.93,34551.53,39804.59,42352.67,91327.64,17405.07,50032.70,1819.69,15752.51,27618.74,32869.33,11381.66,1050.07,43804.47,18347.18,28100.41,53240.66,12936.73,47916.72,28679.35,2612.80,39291.45,31872.62,23468.38,62470.19,35014.91,30503.16,31097.03,9576.61,15337.77,5033.33,34912.96,12682.15,13934.19,12372.05,7253.87,76449.63,13422.29,30919.00,65040.96,27083.30,46321.92,32380.00,37098.36,54597.47,62729.70,60174.23,23981.14,55907.97,17778.25,24589.59,25331.56,18727.41,29818.61,9750.94,5063.52,13702.81,19619.40,10858.18,62687.43,3292.68,15350.84,6099.36,6151.38,4939.97,15497.06,8776.47,11840.03,14799.92,1477.84,19715.23,9865.93,12312.56,50288.37,2240.82,19699.41,23676.46,47425.52,30222.38,17581.14,2181.88,20811.96,20350.75,48206.43,10510.95,21534.20,19692.34,33114.41,8878.10,6153.62,8981.12,20233.97,18674.14,15771.92,3730.28,45964.38,14394.26,2218.83
07/11/25,38366.88,99651.76,35940.79,19031.86,17348.26,37532.20,21335.30,18727.41,28002.59,22316.05,17074.08,81175.27,21627.94,10907.81,23355.47,29369.55,21516.39,25684.11,21.78,141.16,148.13,2612.80,153.45,46.22,325.47,18.88,35469.58,80712.23,41918.93,34551.53,39804.59,42352.67,91616.79,17405.07,50032.70,1819.69,15752.51,27618.74,32869.33,11381.66,1050.07,43804.47,18347.18,28100.41,53240.66,12936.73,47916.72,28679.35,2612.80,39291.45,31872.62,23468.38,62470.19,35014.91,30503.16,31097.03,9576.61,15337.77,5033.33,34912.96,12682.15,13934.19,12372.05,7253.87,76449.63,13422.29,30919.00,65040.96,27083.30,46321.92,32380.00,37098.36,54597.47,62729.70,60174.23,23981.14,55907.97,17778.25,24589.59,25331.56,18727.41,29818.61,9750.94,5063.52,13702.81,19619.40,10858.18,62687.43,3292.68,15350.84,6099.36,6151.38,4939.97,15497.06,8776.47,11840.03,14799.92,1477.84,19715.23,9865.93,12312.56,50288.37,2240.82,19699.41,23676.46,47425.52,30222.38,17581.14,2181.88,20811.96,20350.75,48206.43,10510.95,21534.20,19692.34,33114.41,8878.10,6153.62,8981.12,20233.97,18674.14,15771.92,3730.28,45964.38,14394.26,2218.83
06/11/25,38381.02,99547.41,35945.63,19012.14,17336.12,37510.82,21323.35,18731.33,27869.84,22183.84,16983.29,80662.99,21678.33,10922.14,23388.82,29252.12,21466.63,25625.83,21.80,141.06,147.56,2614.02,153.49,46.35,326.23,18.86,35266.90,80262.39,41834.63,34285.85,39313.26,41431.79,91787.59,17452.16,50346.11,1824.53,15533.60,27719.35,32724.40,11283.90,1050.26,44123.50,18346.60,27429.78,53331.60,13011.40,47832.67,28712.31,2614.02,39037.42,31486.27,23487.36,61880.76,34984.17,30452.48,31048.21,9562.79,15334.37,4977.34,34955.60,12753.68,13950.96,12389.13,7262.52,75841.89,13420.87,30844.39,64549.45,27119.59,46060.79,32480.34,37219.46,54383.50,62594.32,60335.67,23937.73,55803.32,17746.44,24341.60,25142.82,18731.33,29786.09,9691.26,4909.79,13641.29,19676.26,10788.12,62740.18,3297.27,15308.18,6097.13,6148.67,4941.63,15580.47,8701.66,11895.44,14842.66,1465.00,19676.03,9949.79,12432.91,49811.06,2246.82,19555.60,23678.13,47411.31,30180.23,17462.83,2177.66,20836.68,20515.93,48156.44,10559.77,21588.18,19718.71,33021.25,8921.99,6161.27,8995.96,20252.76,18799.95,15733.02,3714.33,45893.93,14440.53,2225.87
05/11/25,38513.37,100796.10,36123.60,19121.57,17461.98,37768.49,21507.09,18982.97,28135.61,22332.52,17142.57,81421.58,22007.04,11050.27,23719.38,29754.25,21622.20,25920.83,21.91,141.92,145.67,2612.15,154.61,46.17,328.16,19.15,35245.11,80642.88,42216.08,34492.17,39637.41,41910.30,91787.59,17538.01,50256.28,1872.09,15861.69,27823.82,32899.21,11354.57,1066.35,45012.82,18370.94,27649.85,53846.01,13122.77,48284.81,28704.34,2612.15,39365.33,31732.01,23676.82,62120.33,35215.36,30546.24,31102.74,9599.68,15312.90,5065.16,35075.84,12777.66,13968.29,12423.30,7270.52,76357.95,13464.58,30920.62,64923.09,27387.85,46204.37,32676.13,37677.10,54824.33,63141.65,61054.59,23954.16,56127.98,17853.06,24721.64,25461.13,18982.97,29863.18,9933.54,4948.28,13816.42,19893.08,10956.86,63499.19,3311.65,15482.62,6129.58,6182.69,4968.16,15654.40,8880.95,11983.39,15078.29,1484.16,19829.45,10159.47,12513.38,49526.14,2276.89,19745.77,24019.05,47645.91,30301.98,17752.38,2177.00,20951.60,20657.18,48426.17,10552.25,21695.87,19859.72,33198.07,8960.77,6159.13,9048.27,20352.68,19003.40,15918.40,3800.95,46281.56,14600.87,2270.54
04/11/25,38513.37,100796.10,36123.60,19121.57,17461.98,37768.49,21507.09,18982.97,28135.61,22332.52,17142.57,81421.58,22007.04,11050.27,23719.38,29754.25,21622.20,25920.83,21.91,141.92,145.67,2612.15,154.61,46.17,328.16,19.15,35245.11,80642.88,42216.08,34492.17,39637.41,41910.30,92343.62,17538.01,50256.28,1872.09,15861.69,27823.82,32899.21,11354.57,1066.35,45012.82,18370.94,27649.85,53846.01,13122.77,48284.81,28704.34,2612.15,39365.33,31732.01,23676.82,62120.33,35215.36,30546.24,31102.74,9599.68,15312.90,5065.16,35075.84,12777.66,13968.29,12423.30,7270.52,76357.95,13464.58,30920.62,64923.09,27387.85,46204.37,32676.13,37677.10,54824.33,63141.65,61054.59,23954.16,56127.98,17853.06,24721.64,25461.13,18982.97,29863.18,9933.54,4948.28,13816.42,19893.08,10956.86,63499.19,3311.65,15482.62,6129.58,6182.69,4968.16,15654.40,8880.95,11983.39,15078.29,1484.16,19829.45,10159.47,12513.38,49526.14,2276.89,19745.77,24019.05,47645.91,30301.98,17752.38,2177.00,20951.60,20657.18,48426.17,10552.25,21695.87,19859.72,33198.07,8960.77,6159.13,9048.27,20352.68,19003.40,15918.40,3800.95,46281.56,14600.87,2270.54
03/11/25,38762.65,101245.91,36345.33,19232.11,17562.91,37983.99,21627.83,19092.29,28237.53,22446.29,17247.99,81760.92,22151.94,11148.15,23916.42,29981.37,21727.62,26041.79,22.04,142.36,148.51,2611.66,155.22,46.27,329.92,19.26,35552.03,81025.49,42411.39,34632.16,39778.28,41982.59,92408.68,17622.31,50795.57,1882.39,16093.93,27958.57,33123.06,11366.90,1074.74,44835.94,18469.25,27803.85,54078.86,13195.30,48602.26,28819.02,2611.66,39527.51,31964.34,23825.22,62498.75,35274.88,30725.11,31318.21,9676.19,15402.63,5125.37,35255.62,12859.26,14019.67,12479.81,7326.30,76462.88,13614.28,31027.15,65081.12,27541.76,46404.49,32868.25,38093.21,55157.18,63599.94,61758.44,24109.51,56555.98,18018.90,24899.43,25678.13,19092.29,30113.83,10039.33,5023.70,13944.97,20079.31,11146.62,63791.08,3339.55,15630.25,6160.44,6213.52,4993.76,15732.45,9013.85,12052.36,15168.37,1494.05,19963.80,10181.39,12567.59,49295.78,2285.37,19896.63,24183.39,47651.43,30568.89,17950.89,2179.62,20994.41,20731.37,48675.89,10659.54,21839.99,20008.70,33483.64,8999.59,6222.30,9110.76,20517.83,19081.71,15949.07,3836.62,46545.28,14679.25,2277.29
02/11/25,38700.60,100295.37,36240.11,19159.09,17483.95,37822.45,21516.62,18971.12,28016.13,22269.35,17094.18,81117.05,21998.15,11036.58,23745.11,29664.22,21610.85,25845.86,21.96,141.46,148.49,2610.01,154.45,46.28,328.82,19.21,35509.72,80572.12,41908.74,34419.98,39434.20,41537.09,92408.68,17452.75,50864.33,1879.16,16032.53,27625.73,33005.98,11153.00,1051.34,44966.45,18324.97,27531.07,53324.01,12993.17,48316.31,28821.17,2610.01,39321.35,31746.66,23758.33,61911.91,35164.56,30726.72,31332.46,9637.06,15398.76,5069.51,35140.43,12883.85,14040.00,12475.52,7330.20,75953.63,13585.01,30914.92,64608.26,27445.51,46187.03,32644.26,38054.86,54865.65,63137.39,61414.19,24108.25,56407.15,18042.75,24584.82,25451.63,18971.12,30122.68,9913.98,4951.36,13881.17,20024.94,11161.92,63494.94,3329.89,15616.78,6131.64,6184.39,4977.67,15693.94,8970.08,12012.29,15103.62,1491.02,19880.27,10120.11,12532.31,48691.73,2295.05,19696.69,24021.28,47542.41,30489.87,17896.92,2173.31,20891.07,20663.17,48452.55,10627.24,21909.79,20009.80,33359.93,8958.22,6215.52,9069.36,20439.66,18971.33,15876.42,3827.65,46396.60,14606.90,2269.79
01/11/25,38700.60,100295.37,36240.11,19159.09,17483.95,37822.45,21516.62,18971.12,28016.13,22269.35,17094.18,81117.05,21998.15,11036.58,23745.11,29664.22,21610.85,25845.86,21.96,141.46,148.49,2610.01,154.45,46.28,328.82,19.21,35509.72,80572.12,41908.74,34419.98,39434.20,41537.09,92408.68,17452.75,50864.33,1879.16,16032.53,27625.73,33005.98,11153.00,1051.34,44966.45,18324.97,27531.07,53324.01,12993.17,48316.31,28821.17,2610.01,39321.35,31746.66,23758.33,61911.91,35164.56,30726.72,31332.46,9637.06,15398.76,5069.51,35140.43,12883.85,14040.00,12475.52,7330.20,75953.63,13585.01,30914.92,64608.26,27445.51,46187.03,32644.26,38054.86,54865.65,63137.39,61414.19,24108.25,56407.15,18042.75,24584.82,25451.63,18971.12,30122.68,9913.98,4951.36,13881.17,20024.94,11161.92,63494.94,3329.89,15616.78,6131.64,6184.39,4977.67,15693.94,8970.08,12012.29,15103.62,1491.02,19880.27,10120.11,12532.31,48691.73,2295.05,19696.69,24021.28,47542.41,30489.87,17896.92,2173.31,20891.07,20663.17,48452.55,10627.24,21909.79,20009.80,33359.93,8958.22,6215.52,9069.36,20439.66,18971.33,15876.42,3827.65,46396.60,14606.90,2269.79
31/10/25,38700.60,100295.37,36240.11,19159.09,17483.95,37822.45,21516.62,18971.12,28016.13,22269.35,17094.18,81117.05,21998.15,11036.58,23745.11,29664.22,21610.85,25845.86,21.96,141.46,148.49,2610.01,154.45,46.28,328.82,19.21,35509.72,80572.12,41908.74,34419.98,39434.20,41537.09,92630.59,17452.75,50864.33,1879.16,16032.53,27625.73,33005.98,11153.00,1051.34,44966.45,18324.97,27531.07,53324.01,12993.17,48316.31,28821.17,2610.01,39321.35,31746.66,23758.33,61911.91,35164.56,30726.72,31332.46,9637.06,15398.76,5069.51,35140.43,12883.85,14040.00,12475.52,7330.20,75953.63,13585.01,30914.92,64608.26,27445.51,46187.03,32644.26,38054.86,54865.65,63137.39,61414.19,24108.25,56407.15,18042.75,24584.82,25451.63,18971.12,30122.68,9913.98,4951.36,13881.17,20024.94,11161.92,63494.94,3329.89,15616.78,6131.64,6184.39,4977.67,15693.94,8970.08,12012.29,15103.62,1491.02,19880.27,10120.11,12532.31,48691.73,2295.05,19696.69,24021.28,47542.41,30489.87,17896.92,2173.31,20891.07,20663.17,48452.55,10627.24,21909.79,20009.80,33359.93,8958.22,6215.52,9069.36,20439.66,18971.33,15876.42,3827.65,46396.60,14606.90,2269.79
30/10/25,38934.92,100665.62,36445.40,19263.51,17578.96,38030.97,21634.08,19075.82,28153.03,22328.09,17092.06,81480.06,22121.86,11085.66,23859.28,29765.98,21724.87,25978.88,22.09,142.36,146.18,2605.55,155.59,46.15,331.66,19.35,35535.84,80927.41,42005.56,34720.71,39718.91,41804.37,93077.53,17609.69,51133.90,1904.36,16209.39,27777.64,33255.69,10981.81,1055.05,45303.76,18311.46,27533.15,53690.80,13134.45,48548.52,29001.58,2605.55,39552.75,31866.97,23916.24,62317.07,35386.17,30804.39,31428.85,9651.07,15437.75,5090.69,35354.19,12930.69,14086.45,12538.60,7335.42,76403.70,13687.79,31065.84,65018.51,27586.55,46352.91,32955.24,38356.27,54846.28,63413.26,61729.60,24209.14,56767.09,18155.26,24600.73,25533.74,19075.82,30169.93,10028.50,4968.67,13998.46,20212.48,11152.28,63699.13,3337.19,15736.77,6172.45,6225.37,5016.18,15801.97,8878.43,12148.68,15168.04,1521.71,19917.00,10269.94,12587.94,48911.36,2304.51,19683.40,24258.81,47715.87,30646.63,17877.23,2173.84,20983.22,20856.17,48895.08,10678.18,21945.20,20092.07,33586.81,9008.13,6253.79,9127.60,20453.27,19075.25,15801.99,3850.05,46701.02,14735.88,2285.67
29/10/25,39199.80,100889.56,36665.84,19362.08,17659.14,38208.18,21712.29,19105.18,28198.83,22304.81,17045.23,81551.64,22137.15,11099.74,23882.32,29827.90,21808.25,26012.55,22.23,143.11,146.82,2610.03,156.31,46.26,332.58,19.39,35693.87,81421.32,42358.29,34989.18,40008.12,41907.98,92246.84,17734.57,51395.56,1909.89,16282.37,27942.70,33503.48,11023.69,1054.61,45349.27,18333.69,27504.51,53698.30,13227.96,48742.60,29208.01,2610.03,39710.43,31863.35,24049.21,62360.30,35658.27,30996.82,31606.20,9702.67,15516.94,5096.19,35601.00,13027.22,14183.62,12611.66,7367.71,76548.72,13735.90,31296.83,65279.99,27545.35,46518.03,33051.08,38246.11,54827.23,63454.44,61610.65,24374.05,57092.60,18274.82,24667.21,25588.33,19105.18,30221.54,10029.90,4980.05,14016.64,20260.21,11150.72,63620.96,3349.38,15771.78,6210.96,6264.09,5052.31,15897.48,8892.33,12168.46,15209.60,1512.19,19978.92,10254.29,12657.69,49382.65,2301.80,19644.78,24373.94,47706.53,30756.31,17875.38,2177.68,21100.68,20974.92,49308.33,10740.81,22032.12,20148.29,33727.95,9074.74,6299.01,9164.98,20509.74,19151.65,15838.94,3865.49,46869.58,14779.58,2289.99
28/10/25,39022.73,99481.62,36443.42,19243.54,17556.86,37985.14,21591.07,18972.21,28036.82,22169.69,16963.30,81031.46,22039.07,11054.18,23779.08,29689.66,21679.45,25875.18,22.10,142.44,141.91,2609.06,155.77,44.47,331.44,19.34,35958.05,81182.59,42048.09,34819.56,39721.83,41839.73,92771.11,17619.43,51068.45,1879.28,16008.46,27718.67,33458.21,11021.21,1048.04,45044.46,17952.57,27620.62,53340.76,13205.06,48265.38,29113.29,2609.06,39601.66,31944.85,24092.87,62282.86,35497.38,30917.70,31604.88,9602.12,15522.60,5025.35,35385.98,12981.83,14173.29,12581.28,7352.17,76229.05,13707.84,31299.39,65003.18,27603.10,46379.67,32939.64,38314.91,54815.09,63205.01,61455.91,24327.72,56801.41,18184.81,24237.62,25180.98,18972.21,30118.63,9985.14,5074.75,13778.26,20094.38,11058.86,62413.53,3342.61,15606.25,6167.43,6221.29,5018.54,15863.98,8912.84,12148.55,15028.56,1530.17,19842.21,10193.29,12505.25,49566.61,2290.54,19615.21,24258.59,47445.58,30745.92,17580.25,2172.97,21008.28,20853.17,49033.14,10670.34,21917.20,19999.62,33845.23,9044.15,6260.96,9086.16,20395.43,18955.35,15797.56,3802.28,46463.56,14808.06,2270.76
27/10/25,39067.59,99990.06,36508.82,19272.74,17575.42,38030.32,21605.97,18975.80,28038.88,22146.07,16936.74,81051.53,22018.46,11071.01,23773.20,29621.55,21699.74,25867.86,22.16,142.49,145.81,2609.00,155.80,46.31,332.58,19.35,36110.79,81043.35,41949.14,34902.09,39808.58,41922.57,92638.21,17652.76,51451.10,1876.47,15813.48,27792.79,33432.01,10889.00,1059.23,45355.38,18034.52,27508.12,53251.18,13326.88,48406.51,29195.41,2609.00,39761.14,32004.31,24160.38,62295.68,35582.86,31064.11,31756.22,9639.48,15625.77,5037.62,35455.97,12992.59,14201.56,12608.48,7394.83,76039.88,13770.94,31331.48,65226.42,27656.59,46392.27,33092.42,38508.26,55005.86,63258.74,61579.59,24438.02,56851.49,18256.32,24169.49,25131.25,18975.80,30315.06,10042.95,5117.59,13759.48,20198.74,11155.64,62626.81,3352.82,15590.43,6183.97,6237.55,5029.98,15929.16,8961.43,12196.67,15056.05,1515.67,19845.47,10222.17,12486.52,49989.21,2299.68,19557.35,24425.36,47681.21,30822.40,17705.59,2181.00,21040.90,20931.48,49144.63,10743.77,22006.07,20026.72,33947.91,9028.14,6292.04,9114.74,20371.08,18935.55,15838.83,3816.42,46608.40,14860.53,2275.71
26/10/25,38783.54,99597.31,36263.31,19134.50,17455.50,37766.89,21455.47,18874.62,27816.41,21915.06,16707.73,80303.61,21875.87,10968.94,23577.65,29497.82,21540.73,25675.94,22.04,141.55,147.63,2608.69,154.64,46.44,331.03,19.22,35905.52,80465.12,41902.64,34741.03,39606.40,41646.31,92638.21,17653.60,51026.61,1881.32,15632.64,27851.31,33340.82,10652.33,1043.95,45208.32,17765.31,27181.84,53282.06,13035.67,48163.88,29051.29,2608.69,39619.32,31781.59,24040.64,61850.25,35505.24,31086.27,31638.89,9554.85,15594.31,5005.26,35360.69,12902.20,14119.57,12528.38,7384.21,75475.60,13650.08,31268.02,64918.33,27528.46,46196.27,32919.01,38129.60,54841.13,62831.00,60915.31,24416.97,56514.41,18159.68,23763.97,24764.10,18874.62,30194.53,9872.99,5042.92,13614.16,20013.63,11161.60,62358.89,3337.28,15491.44,6139.68,6192.74,4990.95,15826.28,9021.91,12016.13,14969.07,1491.72,19735.02,10167.14,12310.66,50035.70,2292.15,19282.96,24274.85,47489.08,30549.48,17612.96,2178.09,20868.12,20784.95,48812.32,10690.44,21833.14,19862.04,33719.72,8936.36,6268.28,9075.76,20260.84,18720.00,15852.30,3804.81,46255.26,14722.15,2287.96
25/10/25,38783.54,99597.31,36263.31,19134.50,17455.50,37766.89,21455.47,18874.62,27816.41,21915.06,16707.73,80303.61,21875.87,10968.94,23577.65,29497.82,21540.73,25675.94,22.04,141.55,147.63,2608.69,154.64,46.44,331.03,19.22,35905.52,80465.12,41902.64,34741.03,39606.40,41646.31,92638.21,17653.60,51026.61,1881.32,15632.64,27851.31,33340.82,10652.33,1043.95,45208.32,17765.31,27181.84,53282.06,13035.67,48163.88,29051.29,2608.69,39619.32,31781.59,24040.64,61850.25,35505.24,31086.27,31638.89,9554.85,15594.31,5005.26,35360.69,12902.20,14119.57,12528.38,7384.21,75475.60,13650.08,31268.02,64918.33,27528.46,46196.27,32919.01,38129.60,54841.13,62831.00,60915.31,24416.97,56514.41,18159.68,23763.97,24764.10,18874.62,30194.53,9872.99,5042.92,13614.16,20013.63,11161.60,62358.89,3337.28,15491.44,6139.68,6192.74,4990.95,15826.28,9021.91,12016.13,14969.07,1491.72,19735.02,10167.14,12310.66,50035.70,2292.15,19282.96,24274.85,47489.08,30549.48,17612.96,2178.09,20868.12,20784.95,48812.32,10690.44,21833.14,19862.04,33719.72,8936.36,6268.28,9075.76,20260.84,18720.00,15852.30,3804.81,46255.26,14722.15,2287.96
24/10/25,38783.54,99597.31,36263.31,19134.50,17455.50,37766.89,21455.47,18874.62,27816.41,21915.06,16707.73,80303.61,21875.87,10968.94,23577.65,29497.82,21540.73,25675.94,22.04,141.55,147.63,2608.69,154.64,46.44,331.03,19.22,35905.52,80465.12,41902.64,34741.03,39606.40,41646.31,93335.79,17653.60,51026.61,1881.32,15632.64,27851.31,33340.82,10652.33,1043.95,45208.32,17765.31,27181.84,53282.06,13035.67,48163.88,29051.29,2608.69,39619.32,31781.59,24040.64,61850.25,35505.24,31086.27,31638.89,9554.85,15594.31,5005.26,35360.69,12902.20,14119.57,12528.38,7384.21,75475.60,13650.08,31268.02,64918.33,27528.46,46196.27,32919.01,38129.60,54841.13,62831.00,60915.31,24416.97,56514.41,18159.68,23763.97,24764.10,18874.62,30194.53,9872.99,5042.92,13614.16,20013.63,11161.60,62358.89,3337.28,15491.44,6139.68,6192.74,4990.95,15826.28,9021.91,12016.13,14969.07,1491.72,19735.02,10167.14,12310.66,50035.70,2292.15,19282.96,24274.85,47489.08,30549.48,17612.96,2178.09,20868.12,20784.95,48812.32,10690.44,21833.14,19862.04,33719.72,8936.36,6268.28,9075.76,20260.84,18720.00,15852.30,3804.81,46255.26,14722.15,2287.96
23/10/25,38928.23,99693.12,36382.15,19194.07,17506.35,37876.13,21510.49,18906.99,27878.48,21996.47,16758.14,80493.03,21907.48,11001.47,23622.60,29599.52,21600.11,25726.09,22.09,142.21,151.06,2607.43,155.00,47.14,332.37,19.22,36051.32,80992.86,41943.42,34945.62,39758.48,41761.29,93067.32,17800.65,51147.16,1888.94,15473.07,28005.65,33613.63,10731.32,1042.09,45438.61,17730.33,27311.81,53647.64,12965.01,48318.00,29230.93,2607.43,39708.63,31926.33,24124.86,62098.33,35641.48,31180.50,31785.26,9585.35,15712.03,5011.29,35550.38,12941.62,14196.41,12591.92,7410.25,75858.23,13687.94,31490.30,65200.13,27525.42,46405.50,32961.52,38103.32,54928.97,62925.37,60927.57,24534.97,56763.19,18200.71,23731.49,24723.06,18906.99,30254.20,9889.93,5072.98,13597.90,20087.31,11147.41,62345.27,3346.30,15554.19,6164.40,6218.03,5003.54,15885.51,8999.72,12006.68,14989.28,1491.45,19740.21,10195.97,12332.74,50115.05,2299.81,19320.65,24347.29,47620.75,30683.43,17625.43,2175.57,20925.99,20878.73,49051.82,10763.41,21898.16,19928.35,33884.65,8951.72,6295.84,9107.41,20282.67,18749.08,15856.31,3809.10,46340.49,14750.29,2291.85
